"ProjectId","BudgetItemId","AREA GROUP","BUDGETED COST","BudgetId","CATEGORY","CLIENT","DESCRIPTION","ELEMENT ID","ELEMENT KEY","END DATE","INVOICE GROUP","MARKUP IN %","NOTES","PAYMENT STATUS","PAYMENT TERMS","PROJECTID","QUANTITY","UNIT","START DATE","TITLE","TOTAL COST","VENDOR"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","2cfe805f-e360-401b-8ecb-05fc5610089b","TRAVEL-ALL","1290","96c7ee91-955e-491a-a17d-c204af382c83","TRAVEL","RMC","""PER DIEM 3X CREW 5X DAYS ""","TRAVEL-0004","M2B-0012","2025-06-22 00:00:00","PRODUCTION WIDE TRAVEL","0.15","""$86 PER DAY PER CREW ""","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","1483.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","2f985d39-08d9-4e19-bc7a-1a2dc200c0cb","DECOR-ALL","185","96c7ee91-955e-491a-a17d-c204af382c83","DECOR","T&C RENTALS","""LED 20'' ORB SET RGB [SET OF 1 UNITS] ""","DECOR-0010","M2B-0062","2025-06-23 00:00:00","STARLIGHT BALLROOM ENTRY","0.5314","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","283.3","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","3455ace6-9b69-42d2-b2b9-3a9b0bc8fe70","LABOR-ALL","550","96c7ee91-955e-491a-a17d-c204af382c83","LABOR","T&C RENTALS","SCENIC ASSEMBLY - PREP- PACK","LABOR-0010","M2B-0069","2025-06-23 00:00:00","""VOYAGE VISTA PHOTO OP ""","0.35","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","742.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","37337b02-5f89-4608-9abd-54adc4f3eba6","TRAVEL-ALL","650","96c7ee91-955e-491a-a17d-c204af382c83","TRAVEL","RMC","""RENTAL CARS 1X 5X DAYS ""","TRAVEL-0002","M2B-0010","2025-06-22 00:00:00","PRODUCTION WIDE TRAVEL","0.15","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","747.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","398a2aa8-f060-48ef-8984-20efa9cec2bc","RENTALS-ALL","550","96c7ee91-955e-491a-a17d-c204af382c83","RENTALS","T&C RENTALS","""PICKUP- PREP - STAGE DAY ""","RENTALS-0004","M2B-0046","2025-06-23 00:00:00","STARLIGHT FOYER","0.7702","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","973.61","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","3bc434d8-9174-4803-9c79-f30d58b352fa","LIGHTING-ALL","950","96c7ee91-955e-491a-a17d-c204af382c83","LIGHTING","T&C RENTALS","ASTERA TUNNEL GUEST ENTRANCE SETUP [12X]","LIGHTING-0001","M2B-0040","2025-06-23 00:00:00","STARLIGHT GALAXY","0.1116","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","1056.02","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","442196f3-df4a-44e4-880e-27ee9c6421d7","TRAVEL-ALL","1000","96c7ee91-955e-491a-a17d-c204af382c83","TRAVEL","RMC","""FLIGHTS 3X ROUNDTRIP ""","TRAVEL-0001","M2B-0009","2025-06-22 00:00:00","PRODUCTION WIDE TRAVEL","0.15","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","1150","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","4532f1ef-bc49-4d11-84ae-a61591602082","GRAPHICS-ALL","3500","96c7ee91-955e-491a-a17d-c204af382c83","GRAPHICS","T&C RENTALS","""WORLD MAP SCENIC WALL PRINT SKIN ""","GRAPHICS-0004","M2B-0065","2025-06-23 00:00:00","""VOYAGE VISTA PHOTO OP ""","0.35","10FT W X 8FT H","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","4725","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","454ce60b-faf9-4bc9-8a91-9c08244636e0","FABRICATION-ALL","650","96c7ee91-955e-491a-a17d-c204af382c83","FABRICATION","T&C RENTALS","SCENIC BACKWALL UNIT [5FT W X 10FT H]","FABRICATION-0001","M2B-0024","2025-06-23 00:00:00","TIMBO PHOTO OP","0.3499","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","2","","2025-06-16 00:00:00","MB2 Tahoe","877.43","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","4bb8c6d7-0f72-4c97-9315-1355f7cb3a1b","TRAVEL-ALL","250","96c7ee91-955e-491a-a17d-c204af382c83","TRAVEL","RMC","AIRPORT TRANSPO CREW ROUNDTRIP","TRAVEL-0005","M2B-0013","2025-06-22 00:00:00","PRODUCTION WIDE TRAVEL","0.15","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","287.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","4e91c5c4-80fc-4b14-bf36-ccb145228d50","GRAPHICS-ALL","550","96c7ee91-955e-491a-a17d-c204af382c83","GRAPHICS","T&C RENTALS","""CUSTOM 3D LOGO FOR COMPANY ""","GRAPHICS-0001","M2B-0028","2025-06-23 00:00:00","TIMBO PHOTO OP","0.3499","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","742.44","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","55eefbff-85a5-460d-be38-50bc49ff91e0","FABRICATION-ALL","1650","96c7ee91-955e-491a-a17d-c204af382c83","FABRICATION","T&C RENTALS","ROCKET PROP DIRECT PRINT  3/4'' GATOR *FLAT*","FABRICATION-0009","M2B-0059","2025-06-23 00:00:00","STARLIGHT BALLROOM ENTRY","0.5314","""*UPGRADED* TO SCENIC MIRROR ACRYLIC DISPLAY ""","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","2526.81","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","59264201-1e77-4e5b-8ebc-f0a22f8915b4","RENTALS-ALL","13000","96c7ee91-955e-491a-a17d-c204af382c83","RENTALS","T&C RENTALS","""STARLIGHT DRAPERY MASK ""","RENTALS-0006","M2B-0049","2025-06-23 00:00:00","STARLIGHT BALLROOM","0.3911","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","18084.3","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","5a0a43fc-4a58-4ab6-9b43-fda0f6a8f7b2","GRAPHICS-ALL","750","96c7ee91-955e-491a-a17d-c204af382c83","GRAPHICS","T&C RENTALS","CUSTOM MB2 LOGO SIGN 32'' CIRCLE SIGN","GRAPHICS-0003","M2B-0053","2025-06-23 00:00:00","STARLIGHT GUEST ENTRANCE","0.2662","MIRRORED ACRYLIC 2X LAYER *RIG MOUNT*","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","949.65","MYLG STUDIO"
